month,mother_age,child_gender,mother_race,birth_count
2020-07,35  -  39,M,INDIANS,40
2020-07,35  -  39,F,MALAYS,44
2020-07,35  -  39,M,MALAYS,68
2020-07,35  -  39,F,OTHERS,71
2020-07,35  -  39,M,OTHERS,53
2020-07,40  -  44,F,CHINESE,40
2020-07,40  -  44,M,CHINESE,53
2020-07,40  -  44,F,INDIANS,4
2020-07,40  -  44,M,INDIANS,5
2020-07,40  -  44,F,MALAYS,7
2020-07,40  -  44,M,MALAYS,6
2020-07,40  -  44,F,OTHERS,15
2020-07,40  -  44,M,OTHERS,12
2020-07,45  -  49,F,CHINESE,2
2020-07,45  -  49,M,CHINESE,6
2020-07,45  -  49,M,INDIANS,1
2020-07,45  -  49,F,OTHERS,1
2020-07,45  -  49,M,OTHERS,2
2020-08,15  -  19,F,CHINESE,10
2020-08,15  -  19,M,CHINESE,2
2020-08,15  -  19,F,INDIANS,2
2020-08,15  -  19,F,MALAYS,5
2020-08,15  -  19,M,MALAYS,6
2020-08,20  -  24,F,CHINESE,19
2020-08,20  -  24,M,CHINESE,18
2020-08,20  -  24,F,INDIANS,4
2020-08,20  -  24,M,INDIANS,9
2020-08,20  -  24,F,MALAYS,29
2020-08,20  -  24,M,MALAYS,40
2020-08,20  -  24,F,OTHERS,7
2020-08,20  -  24,M,OTHERS,10
2020-08,25  -  29,F,CHINESE,158
2020-08,25  -  29,M,CHINESE,184
2020-08,25  -  29,F,INDIANS,37
2020-08,25  -  29,M,INDIANS,35
2020-08,25  -  29,F,MALAYS,105
2020-08,25  -  29,M,MALAYS,111
2020-08,25  -  29,F,OTHERS,37
2020-08,25  -  29,M,OTHERS,32
2020-08,30  -  34,F,CHINESE,382
2020-08,30  -  34,M,CHINESE,514
2020-08,30  -  34,F,INDIANS,64
2020-08,30  -  34,M,INDIANS,64
2020-08,30  -  34,F,MALAYS,111
2020-08,30  -  34,M,MALAYS,118
2020-08,30  -  34,F,OTHERS,84
2020-08,30  -  34,M,OTHERS,74
2020-08,35  -  39,F,CHINESE,237
2020-08,35  -  39,M,CHINESE,281
2020-08,35  -  39,F,INDIANS,37
2020-08,35  -  39,M,INDIANS,39
2020-08,35  -  39,F,MALAYS,56
2020-08,35  -  39,M,MALAYS,38
2020-08,35  -  39,F,OTHERS,73
2020-08,35  -  39,M,OTHERS,60
2020-08,40  -  44,F,CHINESE,50
2020-08,40  -  44,M,CHINESE,51
2020-08,40  -  44,F,INDIANS,6
2020-08,40  -  44,M,INDIANS,6
2020-08,40  -  44,F,MALAYS,11
2020-08,40  -  44,M,MALAYS,13
2020-08,40  -  44,F,OTHERS,15
2020-08,40  -  44,M,OTHERS,16
2020-08,45  -  49,F,CHINESE,4
2020-08,45  -  49,M,CHINESE,2
2020-08,45  -  49,F,MALAYS,1
2020-08,45  -  49,M,MALAYS,1
2020-08,45  -  49,F,OTHERS,1
2020-08,45  -  49,M,OTHERS,1
2020-08,50  -  54,F,CHINESE,1
2020-09,15  -  19,F,CHINESE,4
2020-09,15  -  19,M,CHINESE,1
2020-09,15  -  19,F,INDIANS,2
2020-09,15  -  19,M,INDIANS,1
2020-09,15  -  19,F,MALAYS,4
2020-09,15  -  19,M,MALAYS,4
2020-09,15  -  19,M,OTHERS,1
